AccidentIndex,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Vehicle_Type
200930A000353,2021-07-18,6,2,4,1,53.01399,2,Amber Valley,-1.363349,1,2,Derbyshire,1,2,30,2024-12-10T10:00:00.000+01:00,1,4
200954EM39209,2021-10-09,5,2,6,2,51.196716,1,Wiltshire,-1.809623,4,2,Wiltshire,2,2,40,2024-12-10T20:32:00.000+01:00,0,2
200937L017080,2021-07-01,3,3,6,1,52.411482,2,Waveney,1.682395,2,2,Suffolk,1,2,60,2024-12-10T11:20:00.000+01:00,0,2
201001LX50298,2022-04-12,1,2,3,1,51.462408,2,Lambeth,-0.129458,1,2,Metropolitan Police,1,2,30,2024-12-10T17:55:00.000+01:00,1,2
2009559D02707,2021-07-06,1,2,4,2,50.647253,0,Weymouth and Portland,-2.407743,1,2,Dorset,1,2,60,2024-12-10T21:10:00.000+01:00,0,3
201001HT20237,2022-04-13,2,2,3,1,51.509723,2,Tower Hamlets,-0.036729,1,2,Metropolitan Police,1,2,30,2024-12-10T17:35:00.000+01:00,1,2
200997GC00405,2021-05-02,6,2,3,1,55.78056,2,East Renfrewshire,-4.436249,1,1,Strathclyde,1,2,30,2024-12-10T17:40:00.000+01:00,0,3
0c907f91-dc36-4e2e-b6da-b119bfd2d1b6,2022-07-09,5,2,2,2,52.713912,2,Charnwood,-1.240862,3,2,Leicestershire,1,2,60,2024-12-10T12:00:00.000+01:00,0,2
10e13835-195e-4ffa-88c9-0441cb73e8be,2022-03-08,1,1,2,1,54.888924,2,Carlisle,-2.926775,1,1,Cumbria,1,5,30,2024-12-10T15:28:00.000+01:00,1,2
201022E005520,2022-11-05,5,2,3,2,52.186687,1,"Herefordshire, County of",-2.514412,3,1,West Mercia,2,2,30,2024-12-10T19:30:00.000+01:00,0,2
201011SL14680,2022-06-19,6,2,3,1,54.692442,2,County Durham,-1.540126,1,1,Durham,1,2,30,2024-12-10T13:23:00.000+01:00,1,2
dc690ca8-4035-42ea-ba30-dc1a9bafb9be,2021-09-13,7,2,1,3,51.757869,2,Blaenau Gwent,-3.233094,1,2,Gwent,1,4,60,2024-12-10T16:35:00.000+01:00,0,2
46fe6fe6-2103-4293-a066-27fb54bb5673,2022-05-11,2,3,6,1,51.332276,2,Thanet,1.37892,1,2,Kent,1,2,40,2024-12-10T17:32:00.000+01:00,0,2
201004FJ10023,2022-05-24,1,2,2,2,53.703349,2,Rossendale,-2.200526,1,1,Lancashire,1,2,30,2024-12-10T16:30:00.000+01:00,1,2
72056c3c-6fc7-480d-b021-1ac9a85a7b04,2021-01-18,7,2,1,1,51.157369,1,East Hampshire,-0.951088,1,2,Hampshire,1,2,40,2024-12-10T17:20:00.000+01:00,0,2
200911ND02109,2021-01-19,1,3,6,1,54.789428,2,Durham,-1.544935,2,2,Durham,2,5,70,2024-12-10T08:34:00.000+01:00,0,2
201045MO55121,2022-10-25,1,2,3,1,51.208537,0,Mole Valley,-0.331609,1,1,Surrey,1,2,30,2024-12-10T22:10:00.000+01:00,0,2
200950BN2B014,2021-08-18,2,2,3,1,50.532317,0,Cornwall,-4.333271,1,2,Devon and Cornwall,1,2,60,2024-12-10T22:08:00.000+01:00,0,2
200950GT3K016,2021-09-24,4,2,6,1,50.224052,0,Cornwall,-5.082215,2,2,Devon and Cornwall,1,5,70,2024-12-10T20:20:00.000+01:00,0,2
90179a75-c1e0-4cb5-aad3-72a8eb4e61a3,2022-10-30,6,2,3,2,52.55412,1,Peterborough,-0.222172,1,1,Cambridgeshire,1,2,30,2024-12-10T18:15:00.000+01:00,1,2
20104100J0740,2022-12-16,4,2,6,2,51.638816,1,Hertsmere,-0.305314,2,1,Hertfordshire,3,2,30,2024-12-10T16:20:00.000+01:00,0,1
200901LX50716,2021-08-05,3,1,3,1,51.488642,2,Lambeth,-0.111099,1,2,Metropolitan Police,1,2,30,2024-12-10T18:40:00.000+01:00,1,2
201020K015210,2022-11-25,4,3,6,1,52.490602,2,Sandwell,-1.979937,2,2,West Midlands,1,2,30,2024-12-10T13:30:00.000+01:00,1,2
200943P043119,2021-11-05,4,3,6,1,51.709483,0,South Oxfordshire,-1.013339,1,3,Thames Valley,2,5,70,2024-12-10T17:28:00.000+01:00,0,4
200901TC00314,2021-11-10,2,2,2,2,51.541302,1,Barking and Dagenham,0.127449,1,1,Metropolitan Police,2,2,30,2024-12-10T20:47:00.000+01:00,1,2
20103102A0119,2022-01-13,3,2,4,1,53.14336,2,Mansfield,-1.18816,1,2,Nottinghamshire,4,2,30,2024-12-10T08:12:00.000+01:00,1,3
eb40e19d-8012-48df-9dff-93b6ba7c32bf,2022-05-21,5,3,6,3,52.227801,2,South Cambridgeshire,-0.082954,2,3,Cambridgeshire,1,5,70,2024-12-10T18:45:00.000+01:00,0,1
200906A009120,2021-01-18,7,2,3,1,53.512141,1,Manchester,-2.21425,1,1,Greater Manchester,2,2,30,2024-12-10T19:50:00.000+01:00,1,2
6bb3eef5-a758-4b98-b2c8-d5c515160a58,2022-07-17,6,3,6,1,54.967984,2,Northumberland,-2.4328,1,1,Northumbria,2,2,60,2024-12-10T16:11:00.000+01:00,0,3
200904AX09132,2021-10-24,6,2,3,2,53.813502,2,Blackpool,-3.052188,1,2,Lancashire,2,3,30,2024-12-10T09:15:00.000+01:00,1,1
201030D001021,2022-10-20,3,3,6,1,52.911193,1,Erewash,-1.338536,1,1,Derbyshire,1,5,70,2024-12-10T01:00:00.000+01:00,0,1
20093104C0397,2021-01-12,1,2,1,1,52.93886,2,Nottingham,-1.216694,3,2,Nottinghamshire,2,4,40,2024-12-10T13:33:00.000+01:00,1,3
201001PL60315,2022-05-04,2,2,2,1,51.441963,2,Lewisham,-0.039493,1,2,Metropolitan Police,1,2,30,2024-12-10T17:15:00.000+01:00,1,2
201042I390911,2022-11-21,7,2,3,2,51.757815,1,Chelmsford,0.473661,1,1,Essex,1,2,30,2024-12-10T19:15:00.000+01:00,1,2
200950AC3G009,2021-12-03,4,1,2,1,50.239917,1,Cornwall,-5.184374,1,2,Devon and Cornwall,2,5,30,2024-12-10T19:05:00.000+01:00,0,2
104f3088-8268-4e9e-b0a6-173a69f8444e,2022-06-02,3,3,6,2,50.962021,2,Test Valley,-1.526221,2,1,Hampshire,1,5,70,2024-12-10T06:52:00.000+01:00,0,2
200905BB01714,2021-09-19,6,3,6,1,53.458787,1,Sefton,-3.001677,1,1,Merseyside,1,2,30,2024-12-10T18:50:00.000+01:00,1,2
2009559C03500,2021-08-28,5,2,3,1,50.738964,2,Poole,-1.949234,2,2,Dorset,1,2,30,2024-12-10T12:27:00.000+01:00,1,2
201043P125100,2022-10-11,1,2,3,1,51.732073,2,Oxford,-1.219484,1,2,Thames Valley,1,2,30,2024-12-10T16:15:00.000+01:00,1,2
